datetime,dataset,layer,classifier,feat,seg,step,padding,train_avg,test_avg,train_std,test_std
2021-08-20-15:27:13,esc10,conv4,mlp,mean,3.0,2.0,6.0,0.98125,0.75875,0.0024206145913796273,0.03803781013675736
2021-08-20-15:27:39,esc10,conv4,mlp,mean,3.0,2.0,8.0,0.9790624999999998,0.75875,0.003217384419058443,0.04231577719952689
2021-08-20-15:32:11,esc10,conv4,mlp,mean,3.0,0.5,6.0,0.982375,0.758,0.01652365728281727,0.02763150375929621
2021-08-20-13:17:26,esc10,conv6,mlp,mean,2.0,0.25,4.0,0.9685576923076924,0.7575000000000001,0.007457969011409711,0.029002142340782838
2021-08-20-15:28:58,esc10,conv4,mlp,mean,3.0,1.0,6.0,0.9864583333333334,0.7566666666666666,0.0017430417219460106,0.03842380627799502
2021-08-20-15:26:40,esc10,conv4,mlp,mean,3.0,2.0,4.0,0.9809375,0.75625,0.004881406047441646,0.047269176002972584
2021-08-20-13:09:31,esc10,conv6,mlp,mean,2.0,2.0,6.0,0.9803125,0.7550000000000001,0.002898005779842398,0.0322102468168128
2021-08-20-13:10:36,esc10,conv6,mlp,mean,2.0,1.0,4.0,0.9696875,0.755,0.0027243118397129147,0.02589039397150998
2021-08-20-13:12:08,esc10,conv6,mlp,mean,2.0,1.0,8.0,0.97109375,0.7549999999999999,0.0056553003346418405,0.027214426321346543
2021-08-20-13:20:58,esc10,conv6,mlp,mean,2.0,0.25,8.0,0.9458653846153848,0.7540384615384615,0.02406268010767913,0.03040286696228875
2021-08-20-13:13:19,esc10,conv6,mlp,mean,2.0,0.5,4.0,0.9575,0.7539285714285714,0.023815029125426216,0.02755791674837201
2021-08-20-13:11:21,esc10,conv6,mlp,mean,2.0,1.0,6.0,0.970625,0.75375,0.00229639663385922,0.024717149916606496
2021-08-20-15:28:20,esc10,conv4,mlp,mean,3.0,1.0,4.0,0.98125,0.7533333333333333,0.007711148134717405,0.05253305837491495
2021-08-20-13:09:06,esc10,conv6,mlp,mean,2.0,2.0,4.0,0.984375,0.7525,0.003277527650531728,0.028939592256975562
2021-08-20-13:15:38,esc10,conv6,mlp,mean,2.0,0.5,8.0,0.9677678571428572,0.7524999999999998,0.01015426295318619,0.032293298729878045
2021-08-20-13:19:10,esc10,conv6,mlp,mean,2.0,0.25,6.0,0.9486057692307692,0.7355769230769231,0.017499867920042555,0.02809272474203868
2021-08-20-13:57:25,esc10,conv6,mlp,mean,1.0,0.1,8.0,0.9461585365853658,0.6929878048780488,0.003714198023018407,0.02259637960398997
2021-08-20-13:53:14,esc10,conv6,mlp,mean,1.0,0.1,6.0,0.9449542682926828,0.6896341463414635,0.007075273026517214,0.0213196752890818
2021-08-20-13:34:50,esc10,conv6,mlp,mean,1.0,2.0,8.0,0.9533333333333334,0.6891666666666667,0.007258854745910146,0.014577379737113282
2021-08-20-13:49:07,esc10,conv6,mlp,mean,1.0,0.1,4.0,0.9408231707317072,0.6849999999999999,0.010046252160913855,0.024348592484547918
2021-08-20-13:39:24,esc10,conv6,mlp,mean,1.0,0.5,6.0,0.9279166666666664,0.6802777777777778,0.04603731963725425,0.02277777777777777
2021-08-20-13:34:24,esc10,conv6,mlp,mean,1.0,2.0,6.0,0.950625,0.68,0.002684187234734397,0.03066394915495685
2021-08-20-13:33:59,esc10,conv6,mlp,mean,1.0,2.0,4.0,0.9489583333333332,0.6799999999999999,0.002375365468956529,0.027813865447131075
2021-08-20-13:36:53,esc10,conv6,mlp,mean,1.0,1.0,8.0,0.9535,0.677,0.004157072287078962,0.027946377224964247
2021-08-20-13:35:28,esc10,conv6,mlp,mean,1.0,1.0,4.0,0.950375,0.675,0.00439459895781175,0.03110466202999157
2021-08-20-13:36:12,esc10,conv6,mlp,mean,1.0,1.0,6.0,0.953875,0.67,0.006583597041131832,0.029495762407505236
2021-08-20-13:42:03,esc10,conv6,mlp,mean,1.0,0.25,4.0,0.9325735294117647,0.6686764705882353,0.008795451649755308,0.012212082054133357
2021-08-20-13:45:16,esc10,conv6,mlp,mean,1.0,0.25,8.0,0.9267647058823528,0.6685294117647059,0.01362805709965358,0.02170998685885749
2021-08-20-13:38:09,esc10,conv6,mlp,mean,1.0,0.5,4.0,0.9366666666666668,0.6658333333333333,0.033397363271024716,0.029718327886098832
2021-08-20-13:43:42,esc10,conv6,mlp,mean,1.0,0.25,6.0,0.9299264705882354,0.6610294117647058,0.015851259732939462,0.01498990433037886
2021-08-20-13:40:30,esc10,conv6,mlp,mean,1.0,0.5,8.0,0.9170833333333333,0.6555555555555556,0.04856317080506558,0.04051177240881598
2021-08-20-15:31:35,esc10,pool1,mlp,mean,5.0,1.0,8.0,0.903125,0.605,0.019764235376052385,0.058416607227739614
2021-08-20-15:32:22,esc10,conv2,mlp,mean,5.0,1.0,8.0,0.989375,0.6024999999999999,0.008523863560616156,0.06442049363362562
